iter	Passed	Remaining
158	13227	69963
159	13276	69702
160	13306	69342
161	13332	68966
162	13393	68774
163	13494	68790
164	13546	68551
165	13690	68783
166	13792	68798
167	13874	68713
168	13917	68436
169	13951	68117
170	13985	67801
171	14032	67552
172	14071	67265
173	14102	66946
174	14196	66925
175	14229	66617
176	14280	66400
177	14330	66179
178	14367	65896
179	14432	65746
180	14460	65430
181	14524	65278
182	14552	64970
183	14575	64637
184	14789	65154
185	14990	65604
186	15032	65356
187	15061	65052
188	15150	65012
189	15180	64715
190	15273	64693
191	15301	64393
192	15338	64136
193	15364	63833
194	15398	63566
195	15431	63300
196	15461	63021
197	15491	62746
198	15545	62572
199	15575	62301
200	15605	62034
201	15638	61778
202	15666	61506
203	15700	61260
204	15725	60984
205	15764	60762
206	15790	60491
207	15867	60417
208	15897	60168
209	15931	59931
210	15955	59664
211	15994	59451
212	16020	59192
213	16053	58961
214	16094	58762
215	16117	58501
216	16150	58275
217	16233	58230
218	16265	58004
219	16329	57896
220	16364	57683
221	16390	57442
222	16419	57211
223	16445	56971
224	16480	56765
225	16504	56524
226	16637	56654
227	16983	57505
228	17656	59446
229	17911	59964
230	17943	59733
231	18051	59756
232	18190	59881
233	18228	59672
234	18378	59827
235	18476	59813
236	18505	59578
237	18665	59762
238	18815	59909
239	18896	59839
240	19071	60062
241	19257	60320
242	19306	60144
243	19441	60237
244	19563	60286
245	19594	60058
246	19719	60115
247	19831	60133
248	19885	59977
249	20016	60049
250	20170	60190
251	20202	59966
252	20427	60313
253	21050	61824
254	21710	63427
255	21835	63459
256	22290	64442
257	22900	65861
258	23754	67961
259	23777	67673
260	24258	68686
261	24605	69308
262	24701	69221
263	24830	69224
264	24962	69235
265	24995	68973
266	25162	69078
267	25259	68992
268	25292	68731
269	25406	68692
270	25629	68943
271	25737	68885
272	25780	68652
273	25942	68737
274	26515	69905
275	26536	69610
276	26747	69812
277	27031	70203
278	27068	69950
279	27220	69996
280	27259	69748
281	27461	69918
282	27711	70207
283	27734	69922
284	27797	69737
285	27830	69478
286	27982	69518
287	28111	69497
288	28143	69238
289	28258	69185
290	28813	70201
291	28835	69916
292	29382	70898
293	29804	71571
294	30021	71746
295	30096	71581
296	30777	72851
297	31016	73066
298	31157	73048
299	31385	73232
300	31416	72958
301	31711	73294
302	32287	74270
303	32337	74035
304	32651	74402
305	33222	75347
306	33307	75185
307	33396	75033
308	33748	75470
309	33770	75166
310	33925	75160
311	33980	74931
312	34360	75418
313	34990	76443
314	35278	76716
315	35319	76451
316	35581	76663
317	35672	76504
318	35760	76342
319	35794	76062
320	36032	76217
321	36067	75944
322	36226	75929
323	36392	75929
324	36510	75830
325	36550	75568
326	36805	75748
327	37077	75963
328	37102	75670
329	37413	75961
330	37725	76248
331	37773	76002
332	37854	75822
333	37918	75610
334	37979	75392
335	38053	75200
336	38096	74949
337	38135	74691
338	38184	74454
339	38214	74181
340	38243	73907
341	38279	73648
342	38308	73377
343	38336	73107
344	38361	72832
345	38403	72589
346	38430	72319
347	38457	72052
348	38507	71829
349	38704	71878
350	39030	72167
351	39095	71970
352	39157	71769
353	39223	71577
354	39763	72246
355	39810	72016
356	39858	71790
357	40022	71771
358	40273	71908
359	40308	71659
360	40508	71704
361	40653	71649
362	40739	71491
363	40787	71266
364	40850	71068
365	41010	71040
366	41111	70909
367	41142	70657
368	41222	70490
369	41248	70233
370	41444	70265
371	41476	70019
372	41586	69905
373	41615	69656
374	41717	69529
375	41746	69282
376	41771	69028
377	41809	68798
378	41834	68546
379	41863	68304
380	41964	68178
381	42016	67973
382	42093	67811
383	42127	67578
384	42161	67348
385	42189	67109
386	42260	66939
387	42287	66701
388	42401	66599
389	42481	66445
390	42504	66202
391	42536	65974
392	42563	65740
393	42590	65507
394	42617	65274
395	42654	65059
396	42683	64831
397	42715	64610
398	42793	64458
399	42817	64226
400	42895	64075
401	42918	63843
402	42946	63620
403	42988	63419
404	43014	63193
405	43040	62971
406	43067	62748
407	43098	62535
408	43125	62315
409	43148	62091
410	43174	61872
411	43255	61734
412	43277	61511
413	43417	61456
414	43442	61238
415	43602	61211
416	43719	61122
417	43755	60923
418	43883	60850
419	43977	60731
420	44012	60529
421	44043	60325
422	44072	60117
423	44106	59918
424	44143	59722
425	44559	60040
426	44880	60226
427	44984	60119
428	45031	59937
429	45063	59735
430	45110	59554
431	45582	59932
432	45768	59932
433	45853	59799
434	45888	59602
435	45917	59398
436	45969	59223
437	45999	59021
438	46023	58814
439	46063	58626
440	46090	58422
441	46134	58241
442	46167	58048
443	46195	57848
444	46221	57646
445	46246	57445
446	46270	57242
447	46301	57050
448	46328	56852
449	46351	56652
450	46379	56458
451	46422	56281
452	46449	56087
453	46511	55937
454	46540	55746
455	46571	55558
456	46595	55364
457	46635	55188
458	46661	54997
459	46690	54810
460	46722	54627
461	46792	54489
462	46824	54307
463	46896	54174
464	46964	54034
465	46990	53847
466	47019	53664
467	47065	53501
468	47097	53323
469	47184	53208
470	47334	53163
471	47417	53042
472	47555	52985
473	47596	52817
474	47625	52639
475	47656	52462
476	47684	52283
477	47720	52113
478	47752	51939
479	47984	51983
480	48015	51809
481	48115	51709
482	48308	51709
483	48341	51537
484	48631	51639
485	48717	51524
486	48829	51436
487	48863	51267
488	48904	51104
489	48930	50927
490	48962	50756
491	48991	50584
492	49291	50691
493	49666	50873
494	50432	51451
495	50465	51279
496	50774	51387
497	51009	51419
498	51043	51247
499	51075	51075
500	51130	50925
501	51181	50773
502	51244	50633
503	51273	50460
504	51309	50293
505	51341	50124
506	51375	49957
507	51424	49805
508	51454	49634
509	51483	49464
510	51516	49298
511	51545	49129
512	51569	48956
513	51604	48793
514	51633	48625
515	51660	48456
516	51686	48287
517	51769	48171
518	52013	48205
519	52114	48105
520	52392	48168
521	52738	48292
522	52851	48203
523	52933	48084
524	52994	47947
525	53048	47804
526	53116	47673
527	53210	47566
528	53291	47448
529	53344	47305
530	53409	47173
531	53576	47131
532	53785	47125
533	53850	46993
534	53920	46865
535	54094	46827
536	54129	46670
537	54176	46523
538	54204	46360
539	54228	46194
540	54258	46034
541	54289	45875
542	54320	45717
543	54343	45552
544	54373	45394
545	54399	45233
546	54424	45072
547	54450	44911
548	54474	44750
549	54506	44596
550	54532	44437
551	54554	44276
552	54585	44122
553	54612	43965
554	54635	43806
555	54660	43649
556	54683	43491
557	54714	43340
558	54737	43183
559	54816	43070
560	54862	42931
561	54884	42775
562	54915	42625
563	54942	42473
564	54966	42319
565	54992	42167
566	55023	42019
567	55047	41867
568	55074	41717
569	55104	41569
570	55137	41425
571	55162	41275
572	55209	41142
573	55242	40998
574	55268	40850
575	55294	40702
576	55325	40559
577	55351	40412
578	55374	40263
579	55575	40244
580	55819	40255
581	55839	40104
582	55977	40039
583	56063	39935
584	56154	39836
585	56180	39690
586	56426	39700
587	56792	39793
588	56903	39706
589	57164	39724
590	57189	39577
591	57296	39487
592	57504	39467
593	57559	39342
594	57603	39208
595	57634	39067
596	57733	38972
597	57812	38864
598	57870	38741
599	57910	38606
600	57992	38500
601	58022	38360
602	58887	38770
603	58925	38633
604	59151	38619
605	59396	38617
606	59478	38509
607	59525	38378
608	59723	38344
609	59824	38248
610	59916	38146
611	59984	38029
612	60016	37889
613	60046	37748
614	60086	37615
615	60201	37528
616	60279	37418
617	60314	37281
618	60398	37176
619	60429	37037
620	60458	36898
621	60542	36792
622	60633	36691
623	60658	36550
624	60688	36412
625	60716	36274
626	60750	36139
627	60821	36028
628	60852	35892
629	60928	35783
630	60961	35649
631	60985	35510
632	61012	35373
633	61035	35235
634	61073	35105
635	61097	34967
636	61123	34831
637	61149	34696
638	61186	34567
639	61214	34433
640	61259	34308
641	61323	34195
642	61345	34059
643	61400	33941
644	61424	33807
645	61450	33674
646	61482	33544
647	61507	33411
648	61535	33280
649	61559	33147
650	61591	33019
651	61616	32887
652	61640	32755
653	61666	32624
654	61696	32496
655	61726	32368
656	61753	32239
657	61780	32110
658	61810	31984
659	61833	31853
660	61861	31726
661	61910	31609
662	61943	31485
663	61974	31360
664	62008	31237
665	62032	31109
666	62058	30982
667	62095	30861
668	62122	30736
669	62146	30609
670	62177	30486
671	62212	30365
672	62317	30279
673	62360	30162
674	62425	30056
675	62633	30019
676	62700	29914
677	63010	29925
678	63083	29822
679	63148	29716
680	63238	29622
681	63322	29525
682	63370	29411
683	63401	29290
684	63583	29239
685	63833	29218
686	63855	29092
687	63943	28997
688	63968	28874
689	64017	28761
690	64064	28648
691	64096	28528
692	64138	28413
693	64170	28294
694	64194	28171
695	64272	28072
696	64296	27951
697	64555	27931
698	64740	27878
699	64772	27759
700	65017	27732
701	65104	27637
702	65133	27517
703	65217	27421
704	65255	27305
705	65321	27201
706	65626	27197
707	66371	27373
708	66814	27423
709	66859	27308
710	66960	27217
711	67206	27184
712	67351	27110
713	67419	27005
714	67463	26891
715	67496	26772
716	67529	26653
717	67563	26535
718	67594	26417
719	67630	26300
720	67679	26189
721	67729	26078
722	67758	25960
723	67843	25862
724	68077	25822
725	68433	25827
726	68463	25709
727	68552	25612
728	68703	25539
729	69419	25675
730	69647	25629
731	69755	25538
732	69779	25417
733	70209	25443
734	70666	25478
735	70781	25388
736	70993	25334
737	71042	25221
738	71163	25133
739	71255	25035
740	71291	24918
741	71323	24799
742	71383	24691
743	71418	24574
744	71454	24457
745	71484	24339
746	71507	24218
747	71534	24099
748	71568	23983
749	71596	23865
750	71620	23746
751	71646	23628
752	71678	23512
753	71702	23393
754	71729	23276
755	71756	23159
756	71780	23041
757	71813	22927
758	71841	22811
759	71865	22694
760	71902	22581
761	71927	22465
762	71956	22350
763	71980	22234
764	72018	22123
765	72109	22028
766	72144	21916
767	72223	21817
768	72304	21719
769	72334	21606
770	72407	21506
771	72433	21392
772	72510	21293
773	72535	21179
774	72611	21080
775	72634	20966
776	72713	20868
777	72997	20829
778	73060	20727
779	73267	20665
780	73628	20646
781	73651	20531
782	73726	20432
783	73835	20342
784	73865	20230
785	73953	20134
786	74005	20029
787	74045	19920
788	74078	19810
789	74514	19807
790	74678	19731
791	74774	19637
792	74965	19568
793	75079	19479
794	75110	19368
795	75161	19262
796	75190	19151
797	75222	19041
798	75294	18941
799	75342	18835
800	75407	18734
801	75703	18689
802	75733	18579
803	75778	18473
804	75803	18362
805	75845	18255
806	75874	18146
807	75899	18035
808	75940	17929
809	75965	17819
810	75995	17710
811	76074	17613
812	76101	17504
813	76162	17403
814	76190	17294
815	76218	17186
816	76242	17077
817	76276	16971
818	76306	16863
819	76332	16755
820	76355	16647
821	76389	16541
822	76416	16434
823	76440	16326
824	76466	16220
825	76499	16114
826	76534	16010
827	76566	15905
828	76701	15821
829	76865	15743
830	76916	15642
831	76960	15540
832	76992	15435
833	77161	15358
834	77284	15271
835	77309	15165
836	77339	15061
837	77373	14957
838	77402	14853
839	77439	14750
840	77480	14648
841	77505	14543
842	77553	14443
843	77596	14342
844	77629	14239
845	77661	14136
846	77735	14041
847	78063	13992
848	78109	13892
849	78154	13792
850	78268	13703
851	78317	13604
852	78540	13535
853	78750	13463
854	78809	13365
855	78875	13268
856	78930	13170
857	79031	13079
858	79071	12979
859	79106	12877
860	79138	12776
861	79172	12675
862	79241	12579
863	79319	12485
864	79349	12384
865	79827	12352
866	80310	12319
867	80419	12229
868	80476	12131
869	80872	12084
870	81270	12036
871	81305	11934
872	81337	11832
873	81385	11732
874	81416	11630
875	81500	11536
876	81844	11478
877	82099	11407
878	82124	11304
879	82302	11223
880	82334	11121
881	82370	11020
882	82420	10920
883	82454	10819
884	82485	10718
885	82521	10617
886	82552	10516
887	82580	10415
888	82615	10315
889	82647	10214
890	82678	10114
891	82707	10013
892	82740	9914
893	82765	9813
894	82792	9713
895	82861	9617
896	83094	9541
897	83662	9502
898	83695	9402
899	83768	9307
900	84064	9236
901	84485	9179
902	84569	9084
903	84652	8989
904	84750	8896
905	84805	8798
906	84842	8699
907	84874	8599
908	84910	8500
909	84943	8400
910	84973	8301
911	85006	8202
912	85036	8103
913	85077	8005
914	85160	7911
915	85220	7815
916	85250	7716
917	85313	7620
918	85349	7522
919	85434	7429
920	85478	7332
921	85504	7233
922	85534	7135
923	85573	7038
924	85598	6940
925	85632	6843
926	85682	6747
927	86389	6702
928	86501	6610
929	87032	6550
930	87091	6454
931	87129	6357
932	87176	6260
933	87218	6163
934	87256	6065
935	87305	5969
936	87338	5872
937	87364	5774
938	87389	5677
939	87429	5580
940	87456	5483
941	87488	5386
942	87713	5301
943	87765	5206
944	87794	5109
945	87821	5013
946	87849	4916
947	87876	4820
948	87907	4724
949	87936	4628
950	87971	4532
951	87996	4436
952	88072	4343
953	88138	4249
954	88223	4157
955	88273	4062
956	88308	3967
957	88337	3872
958	88367	3777
959	88396	3683
960	88422	3588
961	88452	3493
962	88487	3399
963	88521	3305
964	88547	3211
965	88570	3117
966	88603	3023
967	88667	2931
968	88694	2837
969	88761	2745
970	88790	2651
971	88820	2558
972	88844	2465
973	88874	2372
974	88908	2279
975	89106	2191
976	89132	2098
977	89307	2008
978	89453	1918
979	89501	1826
980	89793	1739
981	89825	1646
982	89874	1554
983	89903	1461
984	89940	1369
985	89972	1277
986	90060	1186
987	90088	1094
988	90115	1002
989	90139	910
990	90171	818
991	90198	727
992	90224	636
993	90271	544
994	90298	453
995	90321	362
996	90361	271
997	90386	181
998	90414	90
999	90443	0
