iter	Logloss
161	0.2616433006
162	0.2614067129
163	0.2610709903
164	0.2608193436
165	0.260565931
166	0.2603327726
167	0.2600493776
168	0.2595262245
169	0.2593850313
170	0.2591358852
171	0.258711522
172	0.258441058
173	0.2582477638
174	0.2576051056
175	0.2572966277
176	0.2570913005
177	0.2567758303
178	0.2565404226
179	0.2561755883
180	0.2555780918
181	0.255343387
182	0.2551536436
183	0.2549498215
184	0.2547916916
185	0.2546113439
186	0.254236583
187	0.2540505389
188	0.2539293696
189	0.2536952158
190	0.2534517025
191	0.2531026636
192	0.2527646559
193	0.2525639
194	0.2523422488
195	0.252059817
196	0.2518965725
197	0.2517275996
198	0.2515366736
199	0.251349482
200	0.2508943473
201	0.2507388857
202	0.2504845829
203	0.2501056392
204	0.2498116278
205	0.2496802127
206	0.2494658505
207	0.2490854495
208	0.2488623031
209	0.2486131307
210	0.2484081989
211	0.2481606164
212	0.2479572572
213	0.2477261203
214	0.2475306098
215	0.2473583955
216	0.2471298909
217	0.2468948647
218	0.2467312044
219	0.2465022064
220	0.2463070911
221	0.2461695942
222	0.2460037716
223	0.24579228
224	0.2456835001
225	0.2454434605
226	0.2453281647
227	0.2452204349
228	0.2449627476
229	0.2447588042
230	0.2446099939
231	0.2443769594
232	0.2441931791
233	0.2440419232
234	0.2439071435
235	0.2437545271
236	0.2435942304
237	0.2433920954
238	0.2430236208
239	0.2427876065
240	0.2426613336
241	0.242491207
242	0.242365668
243	0.2422019116
244	0.2420130443
245	0.2418774792
246	0.2416195883
247	0.2413939652
248	0.2412138271
249	0.2409607648
250	0.2407355605
251	0.2406147504
252	0.2404923305
253	0.2403614552
254	0.2402314514
255	0.2400576038
256	0.239863462
257	0.2396519522
258	0.2393430677
259	0.2389906556
260	0.2387730484
261	0.2385230499
262	0.2383143573
263	0.2381251882
264	0.2379335354
265	0.2378206622
266	0.2375440363
267	0.2373382428
268	0.2371259968
269	0.236774302
270	0.2365968319
271	0.2363334482
272	0.2361321894
273	0.2359341158
274	0.2357852866
275	0.2355882884
276	0.2353922404
277	0.2352162794
278	0.2350211417
279	0.2348985785
280	0.2347624921
281	0.2344904013
282	0.2343033546
283	0.2341797369
284	0.2340295672
285	0.2338731547
286	0.2335700673
287	0.2334017257
288	0.2332351192
289	0.2328434007
290	0.2326169557
291	0.2324602987
292	0.2323024436
293	0.232180324
294	0.2319752642
295	0.2317040735
296	0.2315307427
297	0.231385698
298	0.2311968102
299	0.2310816785
300	0.2308867018
301	0.2307244883
302	0.2305655327
303	0.230411401
304	0.2300632274
305	0.2299311077
306	0.2296547072
307	0.2293924929
308	0.2292118554
309	0.2291093353
310	0.2289906233
311	0.2288349009
312	0.2285958554
313	0.2285021258
314	0.2283450426
315	0.2281136132
316	0.2278930397
317	0.2276905284
318	0.2274930305
319	0.2272022626
320	0.227075181
321	0.2269341176
322	0.2267320165
323	0.2265457172
324	0.2263903934
325	0.2261968557
326	0.2260873635
327	0.2259093223
328	0.2256814197
329	0.2255905929
330	0.225398832
331	0.2252928335
332	0.2250746116
333	0.2247232191
334	0.2245533998
335	0.2243763427
336	0.2242261725
337	0.2239590759
338	0.2236880114
339	0.2235502754
340	0.2233436664
341	0.2231737395
342	0.2230897603
343	0.2228005135
344	0.2225777587
345	0.222432014
346	0.2222747831
347	0.2220105266
348	0.2217949216
349	0.2215770241
350	0.2212695942
351	0.220987821
352	0.2208492781
353	0.2206143097
354	0.2203854467
355	0.2201685327
356	0.2199164836
357	0.2197721711
358	0.2194706544
359	0.2191955696
360	0.2189297715
361	0.2187887637
362	0.218625879
363	0.21843827
364	0.2181973381
365	0.2179929807
366	0.2177917416
367	0.2175160565
368	0.2174277074
369	0.2172183873
370	0.2170927426
371	0.2168694219
372	0.216677612
373	0.2165401116
374	0.2162828704
375	0.216069128
376	0.2159259253
377	0.2157468256
378	0.2156170986
379	0.2154586052
380	0.215269258
381	0.2151142858
382	0.2149485485
383	0.214437428
384	0.2142625722
385	0.2141198565
386	0.2139839592
387	0.2138063494
388	0.2136395556
389	0.2135006552
390	0.2133908277
391	0.2132153132
392	0.2129306349
393	0.212772193
394	0.2126520208
395	0.2124302922
396	0.2121417109
397	0.2119040525
398	0.2115838008
399	0.2113122969
400	0.211143032
401	0.210862776
402	0.2106554268
403	0.2104887611
404	0.2103222748
405	0.2102116097
406	0.2100680732
407	0.2099214226
408	0.2096863645
409	0.209461606
410	0.209311724
411	0.2088710581
412	0.2087862214
413	0.2085160041
414	0.2083621841
415	0.2082126071
416	0.2079934467
417	0.2078764987
418	0.2076237433
419	0.20747949
420	0.2073222807
421	0.2071641065
422	0.2070819189
423	0.2069219525
424	0.2067377696
425	0.2065487146
426	0.2064315061
427	0.2063069994
428	0.2061680489
429	0.2060502329
430	0.2057040582
431	0.2055665346
432	0.2054586613
433	0.2051483145
434	0.2050494332
435	0.2049003231
436	0.2047555359
437	0.2046053669
438	0.2044207331
439	0.2042801471
440	0.2041598431
441	0.2040251668
442	0.2038424883
443	0.2036996661
444	0.2035408999
445	0.2034721474
446	0.2033355194
447	0.2032034455
448	0.2031195232
449	0.2029792419
450	0.2027782687
451	0.2025262809
452	0.2022808667
453	0.2021687319
454	0.2020479577
455	0.2017589933
456	0.2016425354
457	0.2014977876
458	0.2012414769
459	0.2010918284
460	0.2009767525
461	0.2008355597
462	0.2007386458
463	0.200381061
464	0.2002408719
465	0.2000471918
466	0.19991039
467	0.1996593534
468	0.1995497974
469	0.1994176867
470	0.1992732292
471	0.1990537852
472	0.1989579483
473	0.1988505943
474	0.1987559767
475	0.1986526014
476	0.1985168482
477	0.1983528322
478	0.1981830108
479	0.1980167367
480	0.197874036
481	0.1977642796
482	0.1975919875
483	0.1974812291
484	0.1973366729
485	0.1972303242
486	0.1970373057
487	0.1969044931
488	0.1968046468
489	0.1965996103
490	0.196494567
491	0.1963887268
492	0.1962847362
493	0.196128802
494	0.1959968165
495	0.1958926005
496	0.1957749813
497	0.1956668207
498	0.1955592114
499	0.1954708629
500	0.1953242073
501	0.195226343
502	0.1951293009
503	0.1950491208
504	0.1948556743
505	0.1947197488
506	0.1945022672
507	0.194304427
508	0.1940586567
509	0.1939821133
510	0.1937919991
511	0.1935626904
512	0.1934520218
513	0.1932463064
514	0.1930810167
515	0.1929956591
516	0.1928544311
517	0.1926791865
518	0.1924801532
519	0.1923527547
520	0.1922754938
521	0.1920501806
522	0.1919361374
523	0.1918588955
524	0.1917716223
525	0.1916232977
526	0.1914769794
527	0.1913283638
528	0.1911657821
529	0.1910295697
530	0.1908713251
531	0.1907084403
532	0.1906201071
533	0.1904817274
534	0.1903482381
535	0.190173653
536	0.1900902997
537	0.1899938911
538	0.1898773129
539	0.1897971688
540	0.1896621025
541	0.1894981758
542	0.1893678945
543	0.189275209
544	0.1891562457
545	0.1890301906
546	0.1888967908
547	0.1888306012
548	0.1885989193
549	0.1885018286
550	0.1883421662
551	0.1882415828
552	0.1880857355
553	0.1879534093
554	0.1877502531
555	0.1876707169
556	0.1876017479
557	0.1874641545
558	0.1871966192
559	0.1870822046
560	0.1870108204
561	0.1868875954
562	0.1867753476
563	0.186630554
564	0.186439197
565	0.186324445
566	0.1862065929
567	0.1858549913
568	0.1857417091
569	0.1856423951
570	0.1855365112
571	0.1854075355
572	0.1852786882
573	0.1851364551
574	0.1850667008
575	0.1849592568
576	0.1848274161
577	0.1847233032
578	0.184604072
579	0.1844707609
580	0.1843185498
581	0.1842174625
582	0.1841057191
583	0.1839584377
584	0.1838437564
585	0.1837275185
586	0.1835745913
587	0.1834364808
588	0.1833262263
589	0.1832444879
590	0.1831079358
591	0.1830248173
592	0.1829134319
593	0.1828300293
594	0.182703596
595	0.1825636217
596	0.1824988832
597	0.1823807795
598	0.1823381286
599	0.1822110685
600	0.1821015095
601	0.1820261659
602	0.1819498208
603	0.1817704373
604	0.1816528174
605	0.1815578783
606	0.1815016489
607	0.1814016029
608	0.181272299
609	0.1811339197
610	0.1810609555
611	0.180934954
612	0.1808118139
613	0.1807617834
614	0.1807000899
615	0.1806342049
616	0.1804863834
617	0.1803650375
618	0.1802708663
619	0.1801321439
620	0.1800253445
621	0.179929114
622	0.1798472844
623	0.1797318724
624	0.1796104561
625	0.179544088
626	0.1794180509
627	0.1793377989
628	0.1792379128
629	0.1791207782
630	0.1790025153
631	0.1789140055
632	0.1787665072
633	0.1786444637
634	0.1785547708
635	0.1784470421
636	0.1782786191
637	0.1781930814
638	0.178060702
639	0.1779779604
640	0.1778936788
641	0.1778000615
642	0.1777324741
643	0.1776538828
644	0.1775485161
645	0.1774760748
646	0.1774172477
647	0.1772452806
648	0.177121999
649	0.1770076033
650	0.1768790554
651	0.1768322481
652	0.1767358205
653	0.1766229837
654	0.1765098983
655	0.1764200987
656	0.1763070816
657	0.1762181926
658	0.1760868332
659	0.175982343
660	0.175872804
661	0.1757703382
662	0.1756332818
663	0.1755765308
664	0.1755180261
665	0.1753909309
666	0.1752746558
667	0.1752041681
668	0.1750800825
669	0.174999867
670	0.1748469048
671	0.1747533091
672	0.1745882547
673	0.1745200592
674	0.1744011689
675	0.1743372365
676	0.174255961
677	0.1741129939
678	0.1740167638
679	0.1739616089
680	0.1738919256
681	0.1737947279
682	0.1736725241
683	0.173614359
684	0.1735048184
685	0.17338118
686	0.1732792718
687	0.1732105394
688	0.1731341924
689	0.1730362072
690	0.1729675445
691	0.1728790345
692	0.1728044794
693	0.1727092868
694	0.1726448505
695	0.1725352738
696	0.1724410858
697	0.1723445303
698	0.1722147994
699	0.1721629927
700	0.1721013897
701	0.171969532
702	0.1718798728
703	0.1718170866
704	0.1716762896
705	0.1716016461
706	0.1715279686
707	0.1714278323
708	0.1713272857
709	0.1712107243
710	0.1711254929
711	0.1709859837
712	0.1708646566
713	0.1706831764
714	0.1705508333
715	0.1704440888
716	0.1703459051
717	0.1702382464
718	0.1701569017
719	0.1700670686
720	0.1699564188
721	0.1698242393
722	0.169725895
723	0.1696701498
724	0.1695880714
725	0.1695275759
726	0.1694413943
727	0.1693405791
728	0.1692669551
729	0.1691628968
730	0.1690839171
731	0.1689745912
732	0.1689242705
733	0.1688422281
734	0.1687816447
735	0.168709919
736	0.1686303994
737	0.1685503654
738	0.1684740016
739	0.1683487675
740	0.1682688211
741	0.1681620751
742	0.1680258949
743	0.1679628033
744	0.1678670567
745	0.1677914631
746	0.1677079509
747	0.1676095698
748	0.167517585
749	0.1674469706
750	0.1674003786
751	0.1673306966
752	0.1672737129
753	0.1672017889
754	0.1671165197
755	0.1670427546
756	0.1669956422
757	0.1669331083
758	0.1668547376
759	0.1667299893
760	0.1666769295
761	0.16657303
762	0.1665134144
763	0.1664227375
764	0.1663381715
765	0.1662837684
766	0.166184849
767	0.1660942085
768	0.1660100873
769	0.1659193569
770	0.1658001253
771	0.1657113107
772	0.1656284984
773	0.165546634
774	0.1654533228
775	0.165396592
776	0.1653077578
777	0.165211637
778	0.165137673
779	0.1650877482
780	0.1650388633
781	0.1649906599
782	0.1649332647
783	0.164867325
784	0.1648059715
785	0.1647444579
786	0.1646074896
787	0.1645427505
788	0.1644156008
789	0.164328559
790	0.1642698735
791	0.1641607102
792	0.1640902382
793	0.1639872364
794	0.1639233736
795	0.1638565567
796	0.1637993413
797	0.1637044194
798	0.1636073636
799	0.1635642997
800	0.1634378505
801	0.163338377
802	0.1632872522
803	0.1631942823
804	0.1630575161
805	0.1629896797
806	0.1628813586
807	0.1628049954
808	0.1627052968
809	0.162628484
810	0.1625762134
811	0.162517135
812	0.1624582343
813	0.1623665892
814	0.1623096059
815	0.1622335991
816	0.162133177
817	0.1620189284
818	0.1618493782
819	0.1617964607
820	0.161716083
821	0.161657435
822	0.1615692133
823	0.1614837846
824	0.1614358477
825	0.1613111736
826	0.1612577386
827	0.1611639807
828	0.1610788743
829	0.1609854379
830	0.1609189416
831	0.1608446735
832	0.1607876729
833	0.1607472235
834	0.1606554881
835	0.1605699891
836	0.1604304442
837	0.1603038329
838	0.1602553224
839	0.1601290355
840	0.1600390397
841	0.1599989856
842	0.159955105
843	0.1598886463
844	0.1597950698
845	0.1596982301
846	0.1596098274
847	0.159567499
848	0.1595184528
849	0.1593993661
850	0.1593216748
851	0.1592127253
852	0.1591509052
853	0.15907549
854	0.1590034075
855	0.1589358208
856	0.1588550858
857	0.1587359805
858	0.1586556392
859	0.1586165343
860	0.1585550376
861	0.1585106122
862	0.1584433117
863	0.1583814218
864	0.1583219673
865	0.1582476983
866	0.1581685731
867	0.1580605731
868	0.1580167756
869	0.1578991409
870	0.1578316978
871	0.1577713685
872	0.1577027247
873	0.157577834
874	0.157439077
875	0.1573591657
876	0.1572674882
877	0.157182741
878	0.1570961649
879	0.157008781
880	0.1568834912
881	0.1568135591
882	0.1567739348
883	0.1566924118
884	0.1565870247
885	0.1564814458
886	0.1563982914
887	0.1563273542
888	0.1562619885
889	0.1561593086
890	0.1561019347
891	0.1560493053
892	0.1560057584
893	0.1559500298
894	0.1558913112
895	0.1558005612
896	0.1557496516
897	0.1556560906
898	0.155613458
899	0.1555155253
900	0.1554571639
901	0.1553656439
902	0.1552872904
903	0.1552536854
904	0.155158481
905	0.1551195012
906	0.1550550469
907	0.1549755116
908	0.1549138543
909	0.1548330627
910	0.1547873301
911	0.1547516998
912	0.1546751741
913	0.1546275242
914	0.1545722777
915	0.1544820312
916	0.154373406
917	0.1542879581
918	0.1542286889
919	0.1541359345
920	0.1540967402
921	0.154061594
922	0.1539199687
923	0.1538328024
924	0.1537658961
925	0.1536876501
926	0.1536399989
927	0.1535899309
928	0.1535377142
929	0.1534709147
930	0.1534066045
931	0.1533645619
932	0.1533019888
933	0.1532215404
934	0.1531598464
935	0.1530611794
936	0.1529544873
937	0.1528848403
938	0.15281505
939	0.1527408531
940	0.1526589184
941	0.1525358693
942	0.1524811372
943	0.1524048628
944	0.1523147504
945	0.1522308272
946	0.1521841467
947	0.1521041805
948	0.1520078073
949	0.1519140153
950	0.1518302545
951	0.1517523049
952	0.1517004814
953	0.151660463
954	0.1515672961
955	0.1515074295
956	0.1514005063
957	0.1513511368
958	0.1512886542
959	0.1512507849
960	0.1512080427
961	0.1511015141
962	0.151046107
963	0.1509647791
964	0.1509079049
965	0.1508040441
966	0.1507249755
967	0.1506035783
968	0.1505572538
969	0.1504892365
970	0.150416685
971	0.1503455513
972	0.1502957143
973	0.1501850093
974	0.1501286164
975	0.1500637522
976	0.1500049349
977	0.1499511143
978	0.1499005992
979	0.149827692
980	0.149767539
981	0.1496588064
982	0.1496002484
983	0.1495476815
984	0.1495000926
985	0.1493985582
986	0.1493467781
987	0.1493009106
988	0.1492294174
989	0.1491397966
990	0.149065462
991	0.1490078452
992	0.1488851517
993	0.148817932
994	0.1487647847
995	0.1486896
996	0.1486125908
997	0.1485748119
998	0.1484826679
999	0.1484297151
